Area,Items,Time,Change(%)
Ku-area of Tokyo,Fish prepared in soy sauce,2023,6.5
Ku-area of Tokyo,Canned fish,2023,19.6
Ku-area of Tokyo,Fish & seafood,2022,12.1
Ku-area of Tokyo,Fresh fish & seafood,2022,15.8
Ku-area of Tokyo,Tuna fish,2022,18.9
Ku-area of Tokyo,Horse mackerel,2022,14.8
Ku-area of Tokyo,Sardines,2022,6.4
Ku-area of Tokyo,Bonito,2022,12.1
Ku-area of Tokyo,Salmon,2022,17.8
Ku-area of Tokyo,Mackerel,2022,8.5
Ku-area of Tokyo,Saury,2022,4.5
Ku-area of Tokyo,Sea bream,2022,9.3
Ku-area of Tokyo,Yellowtail,2022,25.3
Ku-area of Tokyo,Cuttlefish,2022,10.6
Ku-area of Tokyo,Octopus,2022,15.1
Ku-area of Tokyo,Prawns,2022,4.9
Ku-area of Tokyo,Short-necked clams,2022,26.9
Ku-area of Tokyo,Oysters,2022,9.0
Ku-area of Tokyo,Scallops,2022,10.3
Ku-area of Tokyo,Salted & dried fish,2022,6.1
Ku-area of Tokyo,Salted salmon,2022,12.9
Ku-area of Tokyo,Salted cod roe,2022,7.4
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2022,-0.5
Ku-area of Tokyo,Dried horse mackerel,2022,-0.9
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2022,0.7
Ku-area of Tokyo,Capelin,2022,0.0
Ku-area of Tokyo,Salmon roe,2022,14.1
Ku-area of Tokyo,Fish-paste products,2022,8.7
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2022,9.6
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2022,5.9
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2022,9.4
Ku-area of Tokyo,Other processed fish & seafood,2022,6.8
Ku-area of Tokyo,Dried bonito fillets,2022,-3.4
Ku-area of Tokyo,Pickled fish,2022,14.2
Ku-area of Tokyo,Fish prepared in soy sauce,2022,2.4
Ku-area of Tokyo,Canned fish,2022,2.8
Ku-area of Tokyo,Fish & seafood,2021,1.6
Ku-area of Tokyo,Fresh fish & seafood,2021,2.3
Ku-area of Tokyo,Tuna fish,2021,5.0
Ku-area of Tokyo,Horse mackerel,2021,-8.5
Ku-area of Tokyo,Sardines,2021,5.3
Ku-area of Tokyo,Bonito,2021,-2.9
Ku-area of Tokyo,Salmon,2021,-0.7
Ku-area of Tokyo,Mackerel,2021,0.9
Ku-area of Tokyo,Saury,2021,15.3
Ku-area of Tokyo,Sea bream,2021,-2.7
Ku-area of Tokyo,Yellowtail,2021,4.6
Ku-area of Tokyo,Cuttlefish,2021,4.1
Ku-area of Tokyo,Octopus,2021,10.0
Ku-area of Tokyo,Prawns,2021,-3.5
Ku-area of Tokyo,Short-necked clams,2021,6.4
Ku-area of Tokyo,Oysters,2021,-0.8
Ku-area of Tokyo,Scallops,2021,3.7
Ku-area of Tokyo,Salted & dried fish,2021,1.8
Ku-area of Tokyo,Salted salmon,2021,1.3
Ku-area of Tokyo,Salted cod roe,2021,0.0
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2021,-2.1
Ku-area of Tokyo,Dried horse mackerel,2021,6.1
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2021,1.2
Ku-area of Tokyo,Capelin,2021,8.5
Ku-area of Tokyo,Salmon roe,2021,10.7
Ku-area of Tokyo,Fish-paste products,2021,0.2
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2021,1.2
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2021,0.1
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2021,-0.4
Ku-area of Tokyo,Other processed fish & seafood,2021,-0.5
Ku-area of Tokyo,Dried bonito fillets,2021,1.0
Ku-area of Tokyo,Pickled fish,2021,0.3
Ku-area of Tokyo,Fish prepared in soy sauce,2021,-0.5
Ku-area of Tokyo,Canned fish,2021,-1.8
Ku-area of Tokyo,Fish & seafood,2020,-1.0
Ku-area of Tokyo,Fresh fish & seafood,2020,-2.1
Ku-area of Tokyo,Tuna fish,2020,-4.6
Ku-area of Tokyo,Horse mackerel,2020,5.3
Ku-area of Tokyo,Sardines,2020,4.3
Ku-area of Tokyo,Bonito,2020,4.9
Ku-area of Tokyo,Salmon,2020,-8.7
Ku-area of Tokyo,Mackerel,2020,-2.0
Ku-area of Tokyo,Saury,2020,24.4
Ku-area of Tokyo,Sea bream,2020,-3.9
Ku-area of Tokyo,Yellowtail,2020,-4.2
Ku-area of Tokyo,Cuttlefish,2020,-2.8
Ku-area of Tokyo,Octopus,2020,-5.7
Ku-area of Tokyo,Prawns,2020,-0.9
Ku-area of Tokyo,Short-necked clams,2020,1.9
Ku-area of Tokyo,Oysters,2020,2.3
Ku-area of Tokyo,Scallops,2020,-2.4
Ku-area of Tokyo,Salted & dried fish,2020,0.4
Ku-area of Tokyo,Salted salmon,2020,1.2
Ku-area of Tokyo,Salted cod roe,2020,1.5
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2020,-0.4
Ku-area of Tokyo,Dried horse mackerel,2020,-1.4
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2020,2.0
Ku-area of Tokyo,Capelin,2020,11.4
Ku-area of Tokyo,Salmon roe,2020,-4.6
Ku-area of Tokyo,Fish-paste products,2020,1.3
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2020,2.4
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2020,0.1
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2020,1.0
Ku-area of Tokyo,Other processed fish & seafood,2020,0.5
Ku-area of Tokyo,Dried bonito fillets,2020,-1.8
Ku-area of Tokyo,Pickled fish,2020,0.8
Ku-area of Tokyo,Fish prepared in soy sauce,2020,-0.1
Ku-area of Tokyo,Canned fish,2020,1.7
Ku-area of Tokyo,Fish & seafood,2019,2.1
Ku-area of Tokyo,Fresh fish & seafood,2019,2.1
Ku-area of Tokyo,Tuna fish,2019,0.3
Ku-area of Tokyo,Horse mackerel,2019,-0.6
Ku-area of Tokyo,Sardines,2019,1.9
Ku-area of Tokyo,Bonito,2019,-0.6
Ku-area of Tokyo,Salmon,2019,0.7
Ku-area of Tokyo,Mackerel,2019,-3.7
Ku-area of Tokyo,Saury,2019,6.1
Ku-area of Tokyo,Sea bream,2019,3.6
Ku-area of Tokyo,Yellowtail,2019,4.9
Ku-area of Tokyo,Cuttlefish,2019,14.9
Ku-area of Tokyo,Octopus,2019,-2.1
Ku-area of Tokyo,Prawns,2019,3.2
Ku-area of Tokyo,Short-necked clams,2019,2.2
Ku-area of Tokyo,Oysters,2019,4.2
Ku-area of Tokyo,Scallops,2019,-5.9
Ku-area of Tokyo,Salted & dried fish,2019,1.7
Ku-area of Tokyo,Salted salmon,2019,5.0
Ku-area of Tokyo,Salted cod roe,2019,-0.6
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2019,3.8
Ku-area of Tokyo,Dried horse mackerel,2019,-1.5
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2019,2.8
Ku-area of Tokyo,Capelin,2019,1.5
Ku-area of Tokyo,Salmon roe,2019,-0.5
Ku-area of Tokyo,Fish-paste products,2019,3.2
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2019,2.0
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2019,1.1
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2019,5.0
Ku-area of Tokyo,Other processed fish & seafood,2019,2.5
Ku-area of Tokyo,Dried bonito fillets,2019,1.1
Ku-area of Tokyo,Pickled fish,2019,1.9
Ku-area of Tokyo,Fish prepared in soy sauce,2019,3.5
Ku-area of Tokyo,Canned fish,2019,3.9
Ku-area of Tokyo,Fish & seafood,2018,4.3
Ku-area of Tokyo,Fresh fish & seafood,2018,4.0
Ku-area of Tokyo,Tuna fish,2018,7.7
Ku-area of Tokyo,Horse mackerel,2018,0.9
Ku-area of Tokyo,Sardines,2018,3.3
Ku-area of Tokyo,Bonito,2018,-5.0
Ku-area of Tokyo,Salmon,2018,4.1
Ku-area of Tokyo,Mackerel,2018,-1.9
Ku-area of Tokyo,Saury,2018,1.7
Ku-area of Tokyo,Sea bream,2018,6.0
Ku-area of Tokyo,Yellowtail,2018,4.8
Ku-area of Tokyo,Cuttlefish,2018,-1.5
Ku-area of Tokyo,Octopus,2018,26.4
Ku-area of Tokyo,Prawns,2018,-1.4
Ku-area of Tokyo,Short-necked clams,2018,-1.0
Ku-area of Tokyo,Oysters,2018,-2.8
Ku-area of Tokyo,Scallops,2018,-0.3
Ku-area of Tokyo,Salted & dried fish,2018,7.6
Ku-area of Tokyo,Salted salmon,2018,6.2
Ku-area of Tokyo,Salted cod roe,2018,4.1
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2018,13.2
Ku-area of Tokyo,Dried horse mackerel,2018,0.6
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2018,-1.9
Ku-area of Tokyo,Capelin,2018,-9.3
Ku-area of Tokyo,Salmon roe,2018,31.5
Ku-area of Tokyo,Fish-paste products,2018,-0.4
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2018,-0.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2018,-0.8
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2018,-0.3
Ku-area of Tokyo,Other processed fish & seafood,2018,4.7
Ku-area of Tokyo,Dried bonito fillets,2018,7.1
Ku-area of Tokyo,Pickled fish,2018,3.2
Ku-area of Tokyo,Fish prepared in soy sauce,2018,15.0
Ku-area of Tokyo,Canned fish,2018,-1.2
Ku-area of Tokyo,Fish & seafood,2017,4.4
Ku-area of Tokyo,Fresh fish & seafood,2017,5.7
Ku-area of Tokyo,Tuna fish,2017,5.9
Ku-area of Tokyo,Horse mackerel,2017,4.5
Ku-area of Tokyo,Sardines,2017,-7.3
Ku-area of Tokyo,Bonito,2017,9.0
Ku-area of Tokyo,Salmon,2017,8.4
Ku-area of Tokyo,Mackerel,2017,5.4
Ku-area of Tokyo,Saury,2017,10.4
Ku-area of Tokyo,Sea bream,2017,1.8
Ku-area of Tokyo,Yellowtail,2017,0.4
Ku-area of Tokyo,Cuttlefish,2017,20.1
Ku-area of Tokyo,Octopus,2017,4.6
Ku-area of Tokyo,Prawns,2017,-0.3
Ku-area of Tokyo,Short-necked clams,2017,-2.0
Ku-area of Tokyo,Oysters,2017,-8.5
Ku-area of Tokyo,Scallops,2017,15.8
Ku-area of Tokyo,Salted & dried fish,2017,5.0
Ku-area of Tokyo,Salted salmon,2017,5.4
Ku-area of Tokyo,Salted cod roe,2017,3.3
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2017,2.7
Ku-area of Tokyo,Dried horse mackerel,2017,0.1
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2017,0.8
Ku-area of Tokyo,Capelin,2017,11.3
Ku-area of Tokyo,Salmon roe,2017,23.8
Ku-area of Tokyo,Fish-paste products,2017,-1.2
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2017,-2.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2017,0.2
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2017,-0.9
Ku-area of Tokyo,Other processed fish & seafood,2017,2.1
Ku-area of Tokyo,Dried bonito fillets,2017,1.7
Ku-area of Tokyo,Pickled fish,2017,2.2
Ku-area of Tokyo,Fish prepared in soy sauce,2017,2.8
Ku-area of Tokyo,Canned fish,2017,-1.3
Ku-area of Tokyo,Fish & seafood,2016,1.7
Ku-area of Tokyo,Fresh fish & seafood,2016,1.7
Ku-area of Tokyo,Tuna fish,2016,-1.5
Ku-area of Tokyo,Horse mackerel,2016,-5.4
Ku-area of Tokyo,Sardines,2016,-1.0
Ku-area of Tokyo,Bonito,2016,-1.3
Ku-area of Tokyo,Salmon,2016,2.3
Ku-area of Tokyo,Mackerel,2016,4.8
Ku-area of Tokyo,Saury,2016,8.0
Ku-area of Tokyo,Sea bream,2016,0.5
Ku-area of Tokyo,Yellowtail,2016,0.5
Ku-area of Tokyo,Cuttlefish,2016,23.6
Ku-area of Tokyo,Octopus,2016,-1.1
Ku-area of Tokyo,Prawns,2016,-0.9
Ku-area of Tokyo,Short-necked clams,2016,1.1
Ku-area of Tokyo,Oysters,2016,-1.4
Ku-area of Tokyo,Scallops,2016,12.8
Ku-area of Tokyo,Salted & dried fish,2016,1.7
Ku-area of Tokyo,Salted salmon,2016,-1.5
Ku-area of Tokyo,Salted cod roe,2016,3.6
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2016,2.5
Ku-area of Tokyo,Dried horse mackerel,2016,-1.3
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2016,2.1
Ku-area of Tokyo,Capelin,2016,9.9
Ku-area of Tokyo,Salmon roe,2016,3.9
Ku-area of Tokyo,Fish-paste products,2016,0.3
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2016,-0.6
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2016,-0.3
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2016,1.3
Ku-area of Tokyo,Other processed fish & seafood,2016,2.4
Ku-area of Tokyo,Dried bonito fillets,2016,-3.5
Ku-area of Tokyo,Pickled fish,2016,5.6
Ku-area of Tokyo,Fish prepared in soy sauce,2016,1.4
Ku-area of Tokyo,Canned fish,2016,0.6
Ku-area of Tokyo,Fish & seafood,2015,2.5
Ku-area of Tokyo,Fresh fish & seafood,2015,2.4
Ku-area of Tokyo,Tuna fish,2015,3.6
Ku-area of Tokyo,Horse mackerel,2015,1.9
Ku-area of Tokyo,Sardines,2015,-1.9
Ku-area of Tokyo,Bonito,2015,-4.6
Ku-area of Tokyo,Salmon,2015,2.0
Ku-area of Tokyo,Mackerel,2015,1.6
Ku-area of Tokyo,Saury,2015,1.3
Ku-area of Tokyo,Sea bream,2015,1.1
Ku-area of Tokyo,Yellowtail,2015,3.8
Ku-area of Tokyo,Cuttlefish,2015,3.0
Ku-area of Tokyo,Octopus,2015,3.3
Ku-area of Tokyo,Prawns,2015,3.3
Ku-area of Tokyo,Short-necked clams,2015,0.6
Ku-area of Tokyo,Oysters,2015,10.2
Ku-area of Tokyo,Scallops,2015,1.2
Ku-area of Tokyo,Salted & dried fish,2015,2.5
Ku-area of Tokyo,Salted salmon,2015,7.0
Ku-area of Tokyo,Salted cod roe,2015,-1.7
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2015,4.3
Ku-area of Tokyo,Dried horse mackerel,2015,6.3
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2015,0.1
Ku-area of Tokyo,Capelin,2015,5.0
Ku-area of Tokyo,Salmon roe,2015,-0.8
Ku-area of Tokyo,Fish-paste products,2015,4.5
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2015,0.0
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2015,6.7
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2015,7.4
Ku-area of Tokyo,Other processed fish & seafood,2015,2.0
Ku-area of Tokyo,Dried bonito fillets,2015,-0.6
Ku-area of Tokyo,Pickled fish,2015,4.8
Ku-area of Tokyo,Fish prepared in soy sauce,2015,2.8
Ku-area of Tokyo,Canned fish,2015,-2.1
Ku-area of Tokyo,Fish & seafood,2014,9.6
Ku-area of Tokyo,Fresh fish & seafood,2014,11.4
Ku-area of Tokyo,Tuna fish,2014,6.5
Ku-area of Tokyo,Horse mackerel,2014,7.4
Ku-area of Tokyo,Sardines,2014,14.7
Ku-area of Tokyo,Bonito,2014,20.2
Ku-area of Tokyo,Salmon,2014,23.5
Ku-area of Tokyo,Mackerel,2014,8.9
Ku-area of Tokyo,Saury,2014,-3.3
Ku-area of Tokyo,Sea bream,2014,0.2
Ku-area of Tokyo,Yellowtail,2014,17.8
Ku-area of Tokyo,Cuttlefish,2014,6.3
Ku-area of Tokyo,Octopus,2014,15.8
Ku-area of Tokyo,Prawns,2014,17.3
Ku-area of Tokyo,Short-necked clams,2014,5.4
Ku-area of Tokyo,Oysters,2014,9.2
Ku-area of Tokyo,Scallops,2014,15.2
Ku-area of Tokyo,Salted & dried fish,2014,7.0
Ku-area of Tokyo,Salted salmon,2014,20.5
Ku-area of Tokyo,Salted cod roe,2014,5.8
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2014,0.3
Ku-area of Tokyo,Dried horse mackerel,2014,8.9
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2014,1.6
Ku-area of Tokyo,Capelin,2014,5.8
Ku-area of Tokyo,Salmon roe,2014,2.4
Ku-area of Tokyo,Fish-paste products,2014,1.1
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2014,-0.7
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2014,0.5
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2014,3.0
Ku-area of Tokyo,Other processed fish & seafood,2014,10.3
Ku-area of Tokyo,Dried bonito fillets,2014,4.8
Ku-area of Tokyo,Pickled fish,2014,12.3
Ku-area of Tokyo,Fish prepared in soy sauce,2014,6.2
Ku-area of Tokyo,Canned fish,2014,12.0
Ku-area of Tokyo,Fish & seafood,2013,-1.2
Ku-area of Tokyo,Fresh fish & seafood,2013,-2.5
Ku-area of Tokyo,Tuna fish,2013,-6.2
Ku-area of Tokyo,Horse mackerel,2013,-4.8
Ku-area of Tokyo,Sardines,2013,-6.0
Ku-area of Tokyo,Bonito,2013,-14.7
Ku-area of Tokyo,Salmon,2013,3.5
Ku-area of Tokyo,Mackerel,2013,-4.1
Ku-area of Tokyo,Saury,2013,18.0
Ku-area of Tokyo,Sea bream,2013,0.5
Ku-area of Tokyo,Yellowtail,2013,-3.4
Ku-area of Tokyo,Cuttlefish,2013,1.8
Ku-area of Tokyo,Octopus,2013,-15.5
Ku-area of Tokyo,Prawns,2013,2.3
Ku-area of Tokyo,Short-necked clams,2013,1.2
Ku-area of Tokyo,Oysters,2013,2.3
Ku-area of Tokyo,Scallops,2013,-0.4
Ku-area of Tokyo,Salted & dried fish,2013,2.3
Ku-area of Tokyo,Salted salmon,2013,2.9
Ku-area of Tokyo,Salted cod roe,2013,0.2
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2013,-1.7
Ku-area of Tokyo,Dried horse mackerel,2013,4.2
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2013,6.2
Ku-area of Tokyo,Capelin,2013,3.2
Ku-area of Tokyo,Salmon roe,2013,9.3
Ku-area of Tokyo,Fish-paste products,2013,-3.7
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2013,-3.1
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2013,-6.3
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2013,-2.8
Ku-area of Tokyo,Other processed fish & seafood,2013,1.3
Ku-area of Tokyo,Dried bonito fillets,2013,4.3
Ku-area of Tokyo,Pickled fish,2013,-2.9
Ku-area of Tokyo,Fish prepared in soy sauce,2013,0.0
Ku-area of Tokyo,Canned fish,2013,8.4
Ku-area of Tokyo,Fish & seafood,2012,-1.2
Ku-area of Tokyo,Fresh fish & seafood,2012,-1.8
Ku-area of Tokyo,Tuna fish,2012,-2.0
Ku-area of Tokyo,Horse mackerel,2012,-0.8
Ku-area of Tokyo,Sardines,2012,-6.4
Ku-area of Tokyo,Bonito,2012,4.5
Ku-area of Tokyo,Salmon,2012,-6.3
Ku-area of Tokyo,Mackerel,2012,-8.6
Ku-area of Tokyo,Saury,2012,-13.9
Ku-area of Tokyo,Sea bream,2012,1.4
Ku-area of Tokyo,Yellowtail,2012,-4.2
Ku-area of Tokyo,Cuttlefish,2012,-1.6
Ku-area of Tokyo,Octopus,2012,8.9
Ku-area of Tokyo,Prawns,2012,8.4
Ku-area of Tokyo,Short-necked clams,2012,-0.4
Ku-area of Tokyo,Oysters,2012,2.9
Ku-area of Tokyo,Scallops,2012,-10.4
Ku-area of Tokyo,Salted & dried fish,2012,2.9
Ku-area of Tokyo,Salted salmon,2012,4.3
Ku-area of Tokyo,Salted cod roe,2012,-0.8
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2012,6.7
Ku-area of Tokyo,Dried horse mackerel,2012,-4.2
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2012,1.8
Ku-area of Tokyo,Capelin,2012,2.8
Ku-area of Tokyo,Salmon roe,2012,15.7
Ku-area of Tokyo,Fish-paste products,2012,-5.8
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2012,-2.6
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2012,-3.8
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2012,-9.6
Ku-area of Tokyo,Other processed fish & seafood,2012,-1.2
Ku-area of Tokyo,Dried bonito fillets,2012,-4.4
Ku-area of Tokyo,Pickled fish,2012,0.6
Ku-area of Tokyo,Fish prepared in soy sauce,2012,-3.8
Ku-area of Tokyo,Canned fish,2012,-1.3
Ku-area of Tokyo,Fish & seafood,2011,1.2
Ku-area of Tokyo,Fresh fish & seafood,2011,2.2
Ku-area of Tokyo,Tuna fish,2011,1.7
Ku-area of Tokyo,Horse mackerel,2011,-2.8
Ku-area of Tokyo,Sardines,2011,-1.9
Ku-area of Tokyo,Bonito,2011,0.5
Ku-area of Tokyo,Salmon,2011,4.4
Ku-area of Tokyo,Mackerel,2011,3.3
Ku-area of Tokyo,Saury,2011,10.4
Ku-area of Tokyo,Sea bream,2011,-0.2
Ku-area of Tokyo,Yellowtail,2011,-2.3
Ku-area of Tokyo,Cuttlefish,2011,0.0
Ku-area of Tokyo,Octopus,2011,8.5
Ku-area of Tokyo,Prawns,2011,1.9
Ku-area of Tokyo,Short-necked clams,2011,-2.1
Ku-area of Tokyo,Oysters,2011,6.5
Ku-area of Tokyo,Scallops,2011,13.3
Ku-area of Tokyo,Salted & dried fish,2011,-0.1
Ku-area of Tokyo,Salted salmon,2011,1.6
Ku-area of Tokyo,Salted cod roe,2011,-2.0
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2011,-1.4
Ku-area of Tokyo,Dried horse mackerel,2011,1.5
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2011,0.9
Ku-area of Tokyo,Capelin,2011,-2.3
Ku-area of Tokyo,Salmon roe,2011,3.9
Ku-area of Tokyo,Fish-paste products,2011,-4.0
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2011,-2.3
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2011,-3.9
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2011,-5.5
Ku-area of Tokyo,Other processed fish & seafood,2011,2.2
Ku-area of Tokyo,Dried bonito fillets,2011,-3.7
Ku-area of Tokyo,Pickled fish,2011,4.9
Ku-area of Tokyo,Fish prepared in soy sauce,2011,-1.4
Ku-area of Tokyo,Canned fish,2011,2.5
Ku-area of Tokyo,Fish & seafood,2010,-2.3
Ku-area of Tokyo,Fresh fish & seafood,2010,-1.1
Ku-area of Tokyo,Tuna fish,2010,-0.5
Ku-area of Tokyo,Horse mackerel,2010,-0.1
Ku-area of Tokyo,Sardines,2010,-8.3
Ku-area of Tokyo,Bonito,2010,-8.4
Ku-area of Tokyo,Salmon,2010,2.9
Ku-area of Tokyo,Mackerel,2010,-0.9
Ku-area of Tokyo,Saury,2010,13.8
Ku-area of Tokyo,Sea bream,2010,-3.0
Ku-area of Tokyo,Yellowtail,2010,-5.2
Ku-area of Tokyo,Cuttlefish,2010,0.9
Ku-area of Tokyo,Octopus,2010,-4.1
Ku-area of Tokyo,Prawns,2010,-2.6
Ku-area of Tokyo,Short-necked clams,2010,-5.3
Ku-area of Tokyo,Oysters,2010,-0.6
Ku-area of Tokyo,Scallops,2010,-3.0
